,Green_Waste_Ground,Green_Waste_Carried,Yellow_Waste_Ground,Yellow_Waste_Carried,Red_Waste_Ground,Red_Waste_Carried,Waste_Disposed,Green_to_Yellow_Transformations,Yellow_to_Red_Transformations,Avg_Green_Collection_Time,Avg_Yellow_Collection_Time,Visited_Ratio_Z1,Visited_Ratio_Z2,Visited_Ratio_Z3,Green_Robots_With_Inventory,Yellow_Robots_With_Inventory,Red_Robots_With_Inventory
0,10,0,5,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,10,0,5,0,2,0,0,0,0,0.0,0.0,0.010714285714285714,0.0,0.0038461538461538464,0,0,0
2,10,0,5,0,2,0,0,0,0,0.0,0.0,0.017857142857142856,0.0038461538461538464,0.007692307692307693,0,0,0
3,10,0,5,0,2,0,0,0,0,0.0,0.0,0.025,0.007692307692307693,0.011538461538461539,0,0,0
4,10,0,5,0,2,0,0,0,0,0.0,0.0,0.03214285714285714,0.011538461538461539,0.015384615384615385,0,0,0
5,10,0,5,0,2,0,0,0,0,0.0,0.0,0.039285714285714285,0.015384615384615385,0.019230769230769232,0,0,0
6,10,0,5,0,2,0,0,0,0,0.0,0.0,0.04642857142857143,0.019230769230769232,0.023076923076923078,0,0,0
7,10,0,5,0,2,0,0,0,0,0.0,0.0,0.05357142857142857,0.023076923076923078,0.026923076923076925,0,0,0
8,10,0,5,0,2,0,0,0,0,0.0,0.0,0.060714285714285714,0.026923076923076925,0.03076923076923077,0,0,0
9,10,0,5,0,2,0,0,0,0,0.0,0.0,0.06785714285714285,0.03076923076923077,0.03461538461538462,0,0,0
10,10,0,5,0,2,0,0,0,0,0.0,0.0,0.075,0.03461538461538462,0.038461538461538464,0,0,0
11,10,0,5,0,2,0,0,0,0,0.0,0.0,0.08214285714285714,0.038461538461538464,0.04230769230769231,0,0,0
12,10,0,5,0,2,0,0,0,0,0.0,0.0,0.08928571428571429,0.04230769230769231,0.046153846153846156,0,0,0
13,9,1,5,0,2,0,0,0,0,0.0,0.0,0.09642857142857143,0.046153846153846156,0.05,1,0,0
14,8,2,5,0,2,0,0,0,0,0.0,0.0,0.1,0.05,0.05384615384615385,2,0,0
15,8,2,5,0,2,0,0,0,0,0.0,0.0,0.10357142857142858,0.05384615384615385,0.057692307692307696,2,0,0
16,8,2,5,0,2,0,0,0,0,0.0,0.0,0.11071428571428571,0.057692307692307696,0.06153846153846154,2,0,0
17,8,2,5,0,2,0,0,0,0,0.0,0.0,0.11785714285714285,0.06153846153846154,0.06538461538461539,2,0,0
18,8,2,5,0,2,0,0,0,0,0.0,0.0,0.125,0.06538461538461539,0.06923076923076923,2,0,0
19,8,2,5,0,2,0,0,0,0,0.0,0.0,0.13214285714285715,0.06923076923076923,0.07307692307692308,2,0,0
20,8,2,5,0,1,1,0,0,0,0.0,0.0,0.1392857142857143,0.07307692307692308,0.07692307692307693,2,0,1
21,8,2,4,1,1,1,0,0,0,0.0,0.0,0.14642857142857144,0.07692307692307693,0.07692307692307693,2,1,1
22,8,2,4,1,1,1,0,0,0,0.0,0.0,0.15357142857142858,0.07692307692307693,0.08076923076923077,2,1,1
23,8,2,4,1,1,1,0,0,0,0.0,0.0,0.16071428571428573,0.08076923076923077,0.08461538461538462,2,1,1
24,8,2,4,1,1,1,0,0,0,0.0,0.0,0.16785714285714284,0.08461538461538462,0.08846153846153847,2,1,1
25,8,2,4,1,1,1,0,0,0,0.0,0.0,0.175,0.08846153846153847,0.09230769230769231,2,1,1
26,7,3,4,1,1,1,0,0,0,24.0,0.0,0.17857142857142858,0.09230769230769231,0.09615384615384616,2,1,1
27,7,1,4,1,1,0,1,1,0,24.0,0.0,0.17857142857142858,0.09615384615384616,0.1,2,1,0
28,7,1,4,1,1,0,1,1,0,24.0,0.0,0.17857142857142858,0.1,0.1,2,1,0
29,7,1,4,1,1,0,1,1,0,24.0,0.0,0.18214285714285713,0.10384615384615385,0.1,2,1,0
30,7,1,4,1,1,0,1,1,0,24.0,0.0,0.18571428571428572,0.1076923076923077,0.10384615384615385,2,1,0
31,7,1,4,1,1,0,1,1,0,24.0,0.0,0.18928571428571428,0.11153846153846154,0.1076923076923077,2,1,0
32,7,1,4,1,1,0,1,1,0,24.0,0.0,0.19285714285714287,0.11538461538461539,0.11153846153846154,2,1,0
33,7,1,4,1,1,0,1,1,0,24.0,0.0,0.19642857142857142,0.11923076923076924,0.11538461538461539,2,1,0
34,7,1,4,1,1,0,1,1,0,24.0,0.0,0.2,0.11923076923076924,0.11923076923076924,2,1,0
35,7,1,5,1,1,0,1,1,0,24.0,0.0,0.20357142857142857,0.11923076923076924,0.12307692307692308,1,1,0
36,7,1,5,1,1,0,1,1,0,24.0,0.0,0.20357142857142857,0.11923076923076924,0.12692307692307692,1,1,0
37,7,1,5,1,1,0,1,1,0,24.0,0.0,0.20714285714285716,0.11923076923076924,0.13076923076923078,1,1,0
38,7,1,5,1,1,0,1,1,0,24.0,0.0,0.21071428571428572,0.11923076923076924,0.1346153846153846,1,1,0
39,7,1,5,1,1,0,1,1,0,24.0,0.0,0.21428571428571427,0.11923076923076924,0.13846153846153847,1,1,0
40,7,1,5,1,1,0,1,1,0,24.0,0.0,0.21785714285714286,0.11923076923076924,0.1423076923076923,1,1,0
41,7,1,5,1,1,0,1,1,0,24.0,0.0,0.22142857142857142,0.11923076923076924,0.14615384615384616,1,1,0
42,7,1,5,1,1,0,1,1,0,24.0,0.0,0.225,0.11923076923076924,0.15,1,1,0
43,7,1,5,1,1,0,1,1,0,24.0,0.0,0.22857142857142856,0.11923076923076924,0.15384615384615385,1,1,0
44,7,1,5,1,1,0,1,1,0,24.0,0.0,0.23214285714285715,0.11923076923076924,0.1576923076923077,1,1,0
45,7,1,5,1,1,0,1,1,0,24.0,0.0,0.23214285714285715,0.11923076923076924,0.16153846153846155,1,1,0
46,7,1,5,1,1,0,1,1,0,24.0,0.0,0.23214285714285715,0.11923076923076924,0.16538461538461538,1,1,0
47,7,1,5,1,1,0,1,1,0,24.0,0.0,0.23214285714285715,0.11923076923076924,0.16923076923076924,1,1,0
